Sensitivities for each species and rate constant versus time

A

Time 	k1	k2	k3	
6.4	0.0761746	-0.0539494	1.52563	
6.5	0.0969119	-0.0595018	1.44801	
6.6	0.0803291	-0.0683518	1.36041	
6.7	0.0943902	-0.0717155	1.27172	
6.8	0.105317	-0.0734938	1.18481	
6.9	0.0905842	-0.0590053	1.13001	
7	0.0873913	-0.0530367	1.10252	
7.1	0.0828671	-0.0436461	1.03713	
7.2	0.0827431	-0.0391256	0.987748	
7.3	0.0654251	-0.0342362	0.903485	
7.4	0.0612562	-0.0251952	0.857836	
7.5	0.0432971	-0.0296609	0.854573	
7.6	0.0360624	-0.0198114	0.801357	
7.7	0.0468751	-0.00851212	0.741591	
7.8	0.0383208	-0.00666888	0.698302	
7.9	0.0318092	-0.00435732	0.662362	
8	0.0205628	-0.0160039	0.61962	
8.1	0.0173942	-0.0142186	0.590552	
8.2	0.00973944	-0.0196182	0.534811	
8.3	0.0164492	-0.0205704	0.521588	
8.4	0.0117908	-0.0189297	0.478154	
8.5	0.00722369	-0.0221513	0.434853	
8.6	0.0126307	-0.023283	0.404636	
8.7	0.0139043	-0.0180783	0.36554	
8.8	0.0229813	-0.00986476	0.357447	
8.9	0.0200571	-0.00746753	0.315556	
9	0.0177879	-0.0180201	0.269863	
9.1	0.0194476	-0.018129	0.251741	
9.2	0.0290476	-0.0133628	0.257309	
9.3	0.0308528	-0.0129505	0.225846	
9.4	0.0263889	-0.0121717	0.217256	
9.5	0.0247683	-0.0074313	0.201859	
9.6	0.021577	-0.00850566	0.200359	
9.7	0.0259566	-0.00688787	0.205105	
9.8	0.0316868	-0.00715894	0.190771	
9.9	0.0315055	-0.00707098	0.161625	
10	0.0195638	-0.00792969	0.108928	
